date,os-se,count-nombre
2021-07-22,ios,<20
2021-07-23,android,<20
2021-07-23,ios,<20
2021-07-24,android,<20
2021-07-24,ios,<20
2021-07-25,android,<20
2021-07-25,ios,<20
2021-07-26,android,<20
2021-07-26,ios,<20
2021-07-27,android,<20
2021-07-27,ios,<20
2021-07-28,android,<20
2021-07-28,ios,<20
2021-07-29,android,<20
2021-07-29,ios,<20
2021-07-30,android,<20
2021-07-30,ios,<20
2021-07-31,android,<20
2021-07-31,ios,<20
2021-08-01,android,<20
2021-08-01,ios,<20
2021-08-02,android,<20
2021-08-02,ios,<20
2021-08-03,android,32
2021-08-03,ios,<20
2021-08-04,android,35
2021-08-04,ios,66
2021-08-05,android,<20
2021-08-05,ios,<20
2021-08-06,android,<20
2021-08-06,ios,<20
2021-08-07,android,<20
2021-08-07,ios,<20
2021-08-08,android,<20
2021-08-08,ios,<20
2021-08-09,android,<20
2021-08-09,ios,<20
2021-08-10,android,<20
2021-08-10,ios,<20
2021-08-11,android,<20
2021-08-11,ios,<20
2021-08-12,android,<20
2021-08-12,ios,<20
2021-08-13,android,<20
2021-08-13,ios,<20
2021-08-14,android,<20
2021-08-14,ios,<20
2021-08-15,android,<20
2021-08-15,ios,<20
2021-08-16,android,<20
2021-08-16,ios,<20
2021-08-17,android,<20
2021-08-17,ios,<20
2021-08-18,android,<20
2021-08-18,ios,<20
2021-08-19,android,<20
2021-08-19,ios,<20
2021-08-20,android,<20
2021-08-20,ios,<20
2021-08-21,android,<20
2021-08-21,ios,<20
2021-08-22,android,<20
2021-08-22,ios,<20
2021-08-23,android,<20
2021-08-23,ios,<20
2021-08-24,android,<20
2021-08-24,ios,<20
2021-08-25,android,<20
2021-08-25,ios,<20
2021-08-26,android,<20
2021-08-26,ios,<20
2021-08-27,android,<20
2021-08-27,ios,<20
2021-08-28,android,<20
2021-08-28,ios,<20
2021-08-29,android,<20
2021-08-29,ios,<20
2021-08-30,android,<20
2021-08-30,ios,<20
2021-08-31,android,<20
2021-08-31,ios,<20
2021-09-01,android,<20
2021-09-01,ios,<20
2021-09-02,android,<20
2021-09-02,ios,<20
2021-09-03,android,<20
2021-09-03,ios,<20
2021-09-04,android,<20
2021-09-04,ios,<20
2021-09-05,android,<20
2021-09-05,ios,<20
2021-09-06,android,<20
2021-09-06,ios,<20
2021-09-07,android,<20
2021-09-07,ios,<20
2021-09-08,android,<20
2021-09-08,ios,<20
2021-09-09,android,<20
2021-09-09,ios,<20
2021-09-10,android,<20
2021-09-10,ios,<20
2021-09-11,android,<20
2021-09-11,ios,<20
2021-09-12,android,<20
2021-09-12,ios,<20
2021-09-13,android,<20
2021-09-13,ios,<20
2021-09-14,android,<20
2021-09-14,ios,<20
2021-09-15,android,<20
2021-09-15,ios,<20
2021-09-16,android,<20
2021-09-16,ios,<20
